systemID,systemName,x,y,2271,2317,2319,2341,2366,2571,2596,2750,2765,2767,2772,2773,2774,2783,2786,2821,2822,2830,2864,3025,3030,3040,3049,3050a,3050b,3050c,3051,3052,3057,3058,3059a,3059b,3059c,3059d,3063,3067,3068,3075,3079,3081,3085,3095,3130,3135,3145,3151,3152
892,Foochow,88.919,-97.499,U,U,U,U,SS,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,LC|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,I,I,I,I,I,I,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,RS|Prefecture V,RS|Prefecture V,RS|Prefecture V,CC|Liao Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2
893,Foot Fall,94.601,-109.868,U,U,U,U,SS,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,LC|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,FCL|Sarna March|Palos Operational Area|Region 1,I,I,I,I,I,I,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,CC|Liao Commonality|Region 4,RS|Prefecture V,RS|Prefecture V,RS|Prefecture V,CC|Liao Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2,CC|Sarna Commonality|Region 2
894,Ford,-191.298,-29.514,U,FoS,FoS,FoS,LC|Federation of Skye,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Furillo Province,LC|Protectorate of Donegal|Bolan Province,LC|Protectorate of Donegal|Bolan Province,FCL|Tamarind March|Soilihull Operational Area|Region 3,FCL|Tamarind March|Soilihull Operational Area|Region 3,FCL|Tamarind March|Soilihull Operational Area|Region 3,FCL|Tamarind March|Soilihull Operational Area|Region 3,FCL|Tamarind March|Soilihull Operational Area|Region 3,FCL|Tamarind March|Soilihull Operational Area|Region 3,FCL|Tamarind March|Soilihull Operational Area|Region 3,LA|Tamarind March|Soilihull Operational Area|Region 3,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,FWL,FWL,LA|Bolan Province|Dixie Theater,LA|Bolan Province|Dixie Theater,LC|Bolan Province|Dixie Theater,LC|Bolan Province|Dixie Theater,LC|Bolan Province|Cavanaugh Theater,LC|Bolan Province|Cavanaugh Theater,WE,WE,WE
895,Forkas,-211.229,159.967,U,U,U,U,U,U,U,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,LC|Protectorate of Donegal|District of Donegal,FCL|Donegal March|Pherkad Operational Area|Region 1,FCL|Donegal March|Pherkad Operational Area|Region 1,FCL|Donegal March|Pherkad Operational Area|Region 1,FCL|Donegal March|Pherkad Operational Area|Region 1,FCL|Donegal March|Pherkad Operational Area|Region 1,FCL|Donegal March|Pherkad Operational Area|Region 1,FCL|Donegal March|Pherkad Operational Area|Region 1,LA|Donegal March|Pherkad Operational Area|Region 1,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LA|Donegal Province,LC|Donegal Province,LC|Donegal Province,LC|Donegal Province,LC|Donegal Province,LC|Donegal Province,LC|Donegal Province,LC|Donegal Province
896,Fort Loudon,-32.326,209.081,U,U,U,U,U,U,U,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Camlann Shire,LC|Tamar Pact|Orkney Shire,LC|Tamar Pact|Tamar Domains,LC|Tamar Pact|Tamar Domains,FCL|Tamar March|Benfled Operational Area|Region 3,FCL|Tamar March|Benfled Operational Area|Region 3,FCL|Tamar March|Benfled Operational Area|Region 3,FCL|Tamar March|Benfled Operational Area|Region 3,FCL|Tamar March|Benfled Operational Area|Region 3,FCL|Tamar March|Benfled Operational Area|Region 3,FCL|Tamar March|Pandora Operational Area|Region 2,LA|Tamar March|Pandora Operational Area|Region 2,LA|Donegal Province|Pandora Theater,LA|Donegal Province|Pandora Theater,LA|Donegal Province|Pandora Theater,LA|Donegal Province|Pandora Theater,LA|Donegal Province|Pandora Theater,LA|Donegal Province|Pandora Theater,LA|Arc-Royal Theater,LA|Arc-Royal Theater,CWF,CWF,CWF,CWF,CWF,CWF,CWF,RD|Region 3,RD|Region 3,RD|Region 3
897,Fortymile,193.597,-214.330,U,U,U,U,U,U,U,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|Region 2,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FCF|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|New Syrtis PDZ,FS|Capellan March|Taygeta Operational Area|Carmacks Prefecture,FS|Capellan March|Taygeta Operational Area|Carmacks Prefecture,FS|Capellan March|Sirdar Operational Area|Carmacks Prefecture,FS|Capellan March|Taygeta Operational Area|Carmacks Prefecture,FS|Capellan March|Taygeta Operational Area|Carmacks Prefecture
898,Franklin,250.736,10.805,U,I,I,I,I,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Fairfax Operational Area|Region 1,FS|Draconis March|Robinson Operational Area|Region 3,FS|Draconis March|Robinson Operational Area|Region 3,FS|Draconis March|Robinson Operational Area|Region 3,DC|Benjamin Military District|Irurzun Prefecture,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FCF|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,DC|New Samarkand Military District|Barlow's End Prefecture,FS|Draconis March|Robinson Operational Area|Le Blanc PDZ,D(DC/FS)
899,Frankson,555.124,-193.261,U,U,U,U,U,U,U,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
900,Frazer,129.232,-333.467,U,U,U,U,U,U,U,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,CC|Sian Commonality|Region 11,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Sirdar Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ
901,Fredotto,-171.593,561.806,U,U,U,U,U,U,U,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,I,I,A,A,A,A,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI,CI
902,Freedom,-64.275,107.739,I,I,FoS,FoS,LC|Federation of Skye,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,FCL|Skye March|Ryde Operational Area|Region 2,FCL|Skye March|Ryde Operational Area|Region 2,FCL|Skye March|Ryde Operational Area|Region 2,FCL|Skye March|Ryde Operational Area|Region 2,FCL|Skye March|Ryde Operational Area|Region 2,FCL|Skye March|Ryde Operational Area|Region 2,FCL|Skye March|Ryde Operational Area|Region 2,LA|Skye March|Ryde Operational Area|Region 2,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater|Region Capital,LA|Skye Province|Freedom Theater|Region Capital,LA|Skye Province|Freedom Theater|Region Capital,LA|Skye Province|Freedom Theater|Region Capital,LA|Donegal Province|Region Capital,LC|Donegal Province|Region Capital,LC|Donegal Province|Region Capital,LC|Donegal Province|Region Capital,LC|Donegal Province,CJF,CJF,I
903,Freisland,234.966,-118.688,U,FS,FS,FS,FS,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|Region 3,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FCF|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region,FS|Crucis March|Markesan Operational Area|New Avalon Combat Region
904,Frondas,-17.846,-247.735,U,U,U,U,SiS,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2
905,Fronde,-5.962,-251.599,U,U,U,U,U,U,U,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,DA,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2,CC|Sian Commonality|Region 2
906,Fuentes,-72.905,-145.351,I,I,I,I,FWL,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,FWL|The Protectorate,TP,TP,TP,OP,OP,FWL|Oriente Protectorate,FWL|Oriente Protectorate,FWL|Oriente Protectorate
907,Fugeres,555.362,-213.188,U,U,U,U,U,U,U,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,FS|Crucis March|Minette Operational Area|Broken Wheel Combat Region,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
908,Fujidera,-76.782,-225.435,FO,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Federation of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,FWL|Duchy of Oriente,DO,DO,OP,OP,OP,FWL|Oriente Protectorate,FWL|Oriente Protectorate,FWL|Oriente Protectorate
909,Fukuroi,110.627,134.115,U,U,AG,DC,DC,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Kajikazawa Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture,DC|Benjamin Military District|Benjamin Prefecture
